product_id,product_name,category_id,brand,unit_cost,list_price
1,Flex Storage Bin 1,2,Astra,27.21,57.40
2,Bold Seed Kit 2,12,VividLoop,173.28,276.79
3,Travel Seed Kit 3,12,BlueCove,74.38,120.45
4,Classic Car Vacuum 4,11,TerraForm,7.33,13.33
5,Active Serum 5,4,BlueCove,9.20,13.09
6,Travel Olive Oil 6,8,SokoWorks,87.92,168.81
7,Max Puzzle 7,7,Northline,218.93,442.35
8,Heritage Tool Kit 8,11,Astra,64.09,137.97
9,Fresh Sunscreen 9,4,Northline,76.64,124.01
10,Wireless Jacket 10,3,BlueCove,234.88,440.28
11,Everyday Desk Chair 11,9,TerraForm,55.91,93.31
12,Pro Desk Organizer 12,9,FreshFold,162.59,316.88
13,Classic Pen Set 13,9,Astra,183.03,305.14
14,Outdoor Headphones 14,1,Atlas,42.09,116.18
15,Max Pruner 15,12,Everly,114.00,201.51
16,Lite Backpack 16,3,Everly,50.82,129.06
17,Flex Desk Organizer 17,9,Astra,213.89,430.41
18,Smart Pruner 18,12,VividLoop,148.62,386.45
19,Fresh Doll 19,7,BlueCove,117.75,182.95
20,Classic Yoga Mat 20,5,UrbanNest,157.74,242.55
21,Bold Mug Set 21,2,Luma,208.29,403.34
22,Essential Speaker 22,1,BrightCart,141.72,319.45
23,Lite Tool Kit 23,11,Astra,21.95,53.33
24,Lite Headphones 24,1,Atlas,90.02,159.76
25,Everyday Cookware Set 25,2,BlueCove,113.02,199.93
26,Wireless Keyboard 26,1,BrightCart,58.65,97.91
27,Active Mug Set 27,2,TerraForm,30.18,46.49
28,Lite Keyboard 28,1,Luma,252.41,383.32
29,Eco Dumbbell 29,5,UrbanNest,191.37,287.42
30,Compact Tablet Stand 30,1,NovaWear,164.09,242.86
31,Fresh Cookbook 31,6,Kibo,71.71,125.26
32,Premium Tea Box 32,8,BlueCove,28.87,43.65
33,Heritage Notebook 33,6,TerraForm,85.18,149.37
34,Core Gym Bag 34,5,Atlas,191.09,396.46
35,Heritage Headphones 35,1,Atlas,45.03,71.88
36,Core Seed Kit 36,12,Luma,201.17,329.06
37,Heritage Cookbook 37,6,Mavuno,29.99,48.11
38,Travel Moisturizer 38,4,Astra,176.49,299.75
39,Pro Mug Set 39,2,Luma,135.74,330.58
40,Fresh T-Shirt 40,3,FreshFold,15.40,23.44
41,Premium Board Game 41,7,Luma,86.06,192.77
42,Flex Jacket 42,3,FreshFold,95.36,166.22
43,Eco Planter 43,12,Luma,212.74,446.96
44,Core Planter 44,12,TerraForm,122.87,328.55
45,Classic Gym Bag 45,5,Northline,309.31,447.57
46,Wireless Keyboard 46,1,Kibo,173.79,384.41
47,Flex Jump Starter 47,11,UrbanNest,61.21,97.27
48,Fresh Desk Chair 48,9,Kibo,20.34,36.43
49,Classic Phone Mount 49,11,BrightCart,53.32,139.04
50,Compact Training Shoes 50,5,NovaWear,223.73,344.95
51,Wireless Keyboard 51,1,PeakHome,18.31,44.93
52,Essential Blender 52,2,Atlas,156.69,375.08
53,Heritage Notebook 53,6,SokoWorks,153.15,375.90
54,Studio Phone Mount 54,11,TerraForm,187.23,401.19
55,Fresh Phone Mount 55,11,Astra,132.00,259.96
56,Smart Speaker 56,1,Mavuno,209.53,351.04
57,Smart Guidebook 57,6,Northline,138.72,214.84
58,Wireless Journal 58,6,SokoWorks,96.46,209.19
59,Flex Jacket 59,3,Everly,157.11,404.23
60,Eco Backpack 60,3,Luma,73.50,153.91
61,Premium Solar Light 61,12,Kibo,141.27,241.46
62,Pro Cookware Set 62,2,NovaWear,138.49,350.18
63,Premium Tool Kit 63,11,Kibo,167.07,333.55
64,Studio Desk Organizer 64,9,PeakHome,64.15,89.51
65,Travel Puzzle 65,7,UrbanNest,29.84,66.54
66,Studio Gym Bag 66,5,Northline,27.44,46.93
67,Fresh Training Shoes 67,5,BlueCove,160.99,318.25
68,Active Leash 68,10,Everly,90.52,157.34
69,Premium Pet Bed 69,10,Mavuno,132.20,297.58
70,Heritage Training Shoes 70,5,VividLoop,206.04,409.21
71,Premium Serum 71,4,Kibo,141.92,198.18
72,Core RC Car 72,7,TerraForm,17.14,47.79
73,Pro Food Bowl 73,10,NovaWear,228.46,349.77
74,Flex Watch 74,3,BlueCove,74.55,118.46
75,Eco Desk Organizer 75,9,NovaWear,91.42,189.30
76,Wireless Tea Box 76,8,Astra,77.75,146.02
77,Lite Water Bottle 77,5,NovaWear,217.40,359.52
78,Outdoor Treat Pack 78,10,SokoWorks,56.00,88.58
79,Smart Keyboard 79,1,Astra,169.29,436.94
80,Max Snack Pack 80,8,BlueCove,46.12,94.08
81,Outdoor Pet Bed 81,10,Mavuno,50.27,140.68
82,Lite Notebook 82,6,TerraForm,66.72,148.46
83,Fresh Pruner 83,12,VividLoop,74.75,107.62
84,Heritage Backpack 84,3,VividLoop,112.70,254.76
85,Smart T-Shirt 85,3,Astra,19.43,40.46
86,Travel Board Game 86,7,FreshFold,266.85,372.61
87,Compact Desk Organizer 87,9,FreshFold,196.55,436.96
88,Classic Tea Box 88,8,Mavuno,208.83,306.65
89,Core Guidebook 89,6,FreshFold,110.79,231.44
90,Eco Mug Set 90,2,BlueCove,26.63,47.67
91,Classic Charger 91,1,Luma,104.02,225.94
92,Outdoor Mug Set 92,2,SokoWorks,115.10,159.99
93,Travel Gym Bag 93,5,Atlas,78.37,166.59
94,Bold Doll 94,7,Luma,59.58,156.58
95,Heritage Speaker 95,1,VividLoop,105.80,167.04
96,Smart Sunscreen 96,4,PeakHome,97.52,215.60
97,Eco Doll 97,7,NovaWear,164.84,382.44
98,Classic Cookware Set 98,2,TerraForm,5.33,9.06
99,Travel Car Vacuum 99,11,TerraForm,186.75,332.96
100,Smart Doll 100,7,Atlas,139.45,275.24
101,Essential Journal 101,6,BrightCart,287.50,401.28
102,Outdoor Mouse Pad 102,9,BrightCart,39.14,64.56
103,Travel Hair Dryer 103,4,VividLoop,25.60,48.74
104,Bold Coffee Beans 104,8,FreshFold,252.27,434.95
105,Compact Cookware Set 105,2,UrbanNest,204.03,325.71
106,Premium Jump Starter 106,11,BrightCart,302.51,433.76
107,Eco Car Vacuum 107,11,Everly,31.24,55.81
108,Wireless Tool Kit 108,11,Atlas,122.75,222.56
109,Outdoor Doll 109,7,UrbanNest,113.04,157.78
